id,mp2015_id
WNAI344,r_sod_344
WNAI345,r_sod_345
WNAI346,r_sod_346
WNAI347,r_sod_347
WNAI348,r_sod_348
WNAI349,r_sod_349
WNAI350,r_sod_350
WNAI351,r_sod_351
WNAI352,r_war_352
WNAI353,r_war_353
WNAI354,r_war_354
WNAI355,r_war_355
WNAI356,r_war_356
WNAI357,r_war_357
WNAI358,r_war_358
WNAI359,r_war_359
WNAI360,r_war_360
WNAI361,r_war_361
WNAI362,r_war_362
WNAI363,r_war_363
WNAI364,r_war_364
WNAI365,r_war_365
WNAI366,r_war_366
WNAI367,r_war_367
WNAI368,r_cer_368
WNAI369,r_cer_369
WNAI370,r_cer_370
WNAI371,r_cer_371
WNAI372,r_cer_372
WNAI373,r_cer_373
WNAI374,r_cer_374
WNAI375,r_cer_375
WNAI376,r_cer_376
WNAI377,r_cer_377
WNAI378,r_cer_378
WNAI379,r_cer_379
WNAI380,r_cer_380
WNAI381,r_cer_381
WNAI382,r_cer_382
WNAI383,r_cer_383
WNAI384,r_cer_384
WNAI385,r_cer_385
WNAI386,r_cer_386
WNAI387,r_cer_387
WNAI388,r_cer_388
WNAI389,r_cer_389
WNAI390,r_cer_390
WNAI391,r_cer_391
WNAI392,r_cer_392
WNAI393,r_cer_393
WNAI394,r_cer_394
WNAI395,r_cer_395
WNAI396,r_cer_396
WNAI397,r_cer_397
WNAI398,r_cer_398
WNAI399,r_cer_399
WNAI400,r_cer_400
WNAI401,r_cer_401
WNAI402,r_cer_402
WNAI403,r_cer_403
WNAI404,r_cer_404
WNAI405,r_cer_405
WNAI406,r_cer_406
WNAI407,r_cer_407
WNAI408,r_sprt_408
WNAI409,r_sprt_409
WNAI410,r_sprt_410
WNAI411,r_sprt_411
WNAI412,r_sprt_412
WNAI413,r_sprt_413
WNAI414,r_sprt_414
WNAI415,r_sprt_415
WNAI416,r_sprt_416
WNAI417,r_sprt_417
WNAI418,r_sprt_418
WNAI419,s_sprt_419
WNAI420,r_sprt_420
WNAI421,r_sprt_421
WNAI422,r_sprt_422
WNAI423,r_sprt_423
WNAI424,r_sprt_424
WNAI425,r_sprt_425
WNAI426,r_sprt_426
WNAI427,r_sprt_427
WNAI428,r_sprt_428
WNAI429,r_sprt_429
WNAI430,r_sprt_430
WNAI431,r_sprt_431
WNAI432,r_sprt_432
WNAI433,r_sprt_433
WNAI434,r_kin_434
WNAI435,r_kin_435
WNAI436,r_pol_436
WNAI437,r_pol_437
WNAI438,s_pol_438
